"pcd","hotspots","easting","northing","latitude","longitude"
"TW11DS",1,515484,174351,-0.339244994458052,51.4563689234353
"TW134AB",1,510521,172813,-0.411126510378333,51.4435348919845
"TW134AE",1,510618,173219,-0.409604608981266,51.4471651370206
"TW134AF",1,510612,172886,-0.409794882398472,51.4441732764659
"TW134AJ",1,510600,173200,-0.40986945259529,51.4469978754441
"TW134AU",3,510524,173153,-0.410977294969911,51.4465902572603
"TW134BH",3,510508,173130,-0.411214610517771,51.4463866502998
"TW134BS",2,510545,173058,-0.410704878961324,51.4457322947344
"TW134DD",1,510489,172869,-0.411569298484593,51.4440444619624
"TW134EX",2,510406,172739,-0.412803596683758,51.4428921776825
"TW134QR",1,509563,172081,-0.425131658155377,51.4371414929271
"TW135AX",1,511121,173150,-0.402391133805879,51.4464465911189
"TW135LZ",1,512818,172666,-0.378136347603321,51.4417612616772
"TW136AH",1,512115,172552,-0.388283041829273,51.4408760702686
"TW136AL",1,512209,172483,-0.386952996769947,51.4402373052556
"TW136AP",1,512170,172450,-0.3875243260279,51.4399484176278
"TW137AB",1,510349,172498,-0.413698457821341,51.4407371405932
"TW137EF",1,511218,172870,-0.401083814450586,51.4439109176387
"TW137EQ",2,510764,172821,-0.407628982861795,51.4435593770902
"TW137HQ",1,510493,172369,-0.41166767403632,51.439549634496
"TW137LX",1,510846,172826,-0.406448027246094,51.4435882922571
"TW140JJ",1,510643,174242,-0.408925406014466,51.4563550535914
"TW140LH",2,510336,174756,-0.413181977985033,51.4610347782907
"TW148BN",1,509269,173882,-0.428804195072556,51.4533859027794
"TW148BT",1,509180,173893,-0.430081163871373,51.4535019234115
"TW149AD",1,510779,173469,-0.407210606262707,51.4493807159304
"TW149HF",1,509894,174124,-0.419737832752699,51.4554401905237
"TW31BL",2,513911,175688,-0.361444634093838,51.4687040343282
"TW31DL",1,513776,175711,-0.363379943808145,51.4689378859655
"TW31EQ",1,513779,175567,-0.363383080792629,51.4676430341668
"TW31ES",2,513850,175627,-0.362342078332658,51.4681680395797
"TW31HB",1,513650,175650,-0.365212742196528,51.4684149208441
"TW31HE",1,513796,175696,-0.363096958664587,51.4687990509189
"TW31HG",2,513743,175680,-0.363864796483907,51.4686658900722
"TW31HL",4,513855,175722,-0.36223955543894,51.4690208791172
"TW31JG",2,513548,175869,-0.366610268965098,51.4704037159763
"TW31JT",1,513791,175853,-0.363118412949254,51.4702111460664
"TW31LR",1,513974,175774,-0.360510333750457,51.4694643152479
"TW31NA",2,514049,175813,-0.359418463756888,51.4697997447124
"TW31QL",2,514067,175753,-0.359178775995767,51.469256850979
"TW31QP",1,514093,175773,-0.358798171529791,51.4694313711244
"TW31RS",1,514486,175937,-0.353089599030167,51.4708260753924
"TW31SE",1,514615,175980,-0.351219227711661,51.4711864615283
"TW33BJ",1,513551,175654,-0.366636103038952,51.4684707258401
"TW33JB",1,513142,175457,-0.372584773261041,51.4667819507361
"TW33JW",1,512811,175355,-0.377380351770856,51.4659311946066
"TW33LF",1,513367,175485,-0.369338083269465,51.4669886295743
"TW33QE",1,513038,175285,-0.374136266944624,51.4652567943419
"TW33TU",1,513718,175252,-0.364362109767033,51.464824110264
"TW34EZ",1,513760,176624,-0.36331655183966,51.4771469927532
"TW45AR",1,512129,175054,-0.387289502502677,51.4633612157289
"TW45DJ",1,511780,175009,-0.392325454614831,51.4630257182929
"TW46BH",1,511346,174986,-0.398577462274423,51.4629044504122
"TW47DD",1,512545,175851,-0.381050228874563,51.4704421093075
"TW47DJ",1,512234,176069,-0.385456700674611,51.4724631866478
"TW47DN",1,512157,176105,-0.386553451834715,51.4728020051602
"TW47HY",1,511962,176186,-0.389334230897835,51.4735686097606
"TW50DR",1,512521,177222,-0.380959389623272,51.4827692999471
"TW59NA",1,512027,177854,-0.387870213959522,51.4885476280193
"TW59NB",3,511460,177622,-0.396106416133522,51.4865743488546
"TW59PB",1,510826,177438,-0.405291381575964,51.4850450278306
"TW59PE",1,511145,178386,-0.400400950177172,51.4935030918987
"TW59PS",1,511485,177510,-0.395781836365045,51.4855627748029
"TW59SW",1,510564,176735,-0.409282957208639,51.4787776745381
"TW59UW",1,511414,176377,-0.397160978383283,51.4753933792863
"TW74BZ",1,515492,176421,-0.338454291178032,51.4749719042657
"TW75AQ",1,515896,176488,-0.332617895551084,51.4754915476605
"TW75BQ",1,516748,176946,-0.320204478437967,51.479432882096
"TW75DB",1,515892,177809,-0.332242425727908,51.4873650936923
"TW75ED",1,515788,176752,-0.334085827390483,51.4778863912527
"TW75LP",1,515351,176890,-0.340330607301345,51.479215883716
"TW75NZ",2,516042,177649,-0.3301355511148,51.4858963386258
"TW75PR",1,515393,178274,-0.339274237516545,51.4916463135655
"TW75QD",1,516237,177786,-0.327283357433731,51.4870876416401
"TW75QE",1,516420,177340,-0.324795803919863,51.4830415479608
"TW76AB",1,516188,176134,-0.328531632979712,51.4722500781509
"TW76BG",1,516682,176002,-0.32146590206445,51.470962154034
"TW76EP",1,515468,175559,-0.33908107579972,51.4672293772907
"TW76RJ",1,516591,175813,-0.322837757627712,51.4692822263155
"TW77DY",1,515977,174725,-0.332030011038999,51.4596296506787
"TW77JY",3,515603,174652,-0.337434727579496,51.4590499710644
"TW80BB",1,518062,177592,-0.301075850137724,51.4849663821332
